,iconUrl,symbol,name,price,change,marketCap,24hVolume,icons
0,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,BTC,Bitcoin,40254.34355139037,1.25,765720860330,30198507382,"<img src=""https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg"" style=""height: 30px; width:30px;""/>"
27,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,ETH,Ethereum,2962.602528328519,-0.33,355957280055,18912963463,"<img src=""https://cdn.coinranking.com/rk4RKHOuW/eth.svg"" style=""height: 30px; width:30px;""/>"
54,https://cdn.coinranking.com/mgHqwlCLj/usdt.svg,USDT,Tether USD,1.002528394057687,0.25,83336376330,66202631506,"<img src=""https://cdn.coinranking.com/mgHqwlCLj/usdt.svg"" style=""height: 30px; width:30px;""/>"
81,https://cdn.coinranking.com/B1N19L_dZ/bnb.svg,BNB,Binance Coin,403.2663359467638,0.02,59212074741,2170339180,"<img src=""https://cdn.coinranking.com/B1N19L_dZ/bnb.svg"" style=""height: 30px; width:30px;""/>"
108,https://cdn.coinranking.com/jkDf8sQbY/usdc.svg,USDC,USDC,1.003948159395381,0.11,50089334350,3733454997,"<img src=""https://cdn.coinranking.com/jkDf8sQbY/usdc.svg"" style=""height: 30px; width:30px;""/>"
135,https://cdn.coinranking.com/F-PJdF8Um/LUNA.svg,LUNA,Terra,95.99018728739628,4.77,33405836694,2464422724,"<img src=""https://cdn.coinranking.com/F-PJdF8Um/LUNA.svg"" style=""height: 30px; width:30px;""/>"
162,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,SOL,Solana,99.41138684402672,-1.45,33160407526,1393344904,"<img src=""https://cdn.coinranking.com/yvUG4Qex5/solana.svg"" style=""height: 30px; width:30px;""/>"
189,https://cdn.coinranking.com/iseN4Am58/hex-vector.svg,HEX,HEX,0.1249660753371557,-3.77,32292317719,2495991,"<img src=""https://cdn.coinranking.com/iseN4Am58/hex-vector.svg"" style=""height: 30px; width:30px;""/>"
216,https://cdn.coinranking.com/B1oPuTyfX/xrp.svg,XRP,XRP,0.6878526890467571,-2.38,30315853476,2070724922,"<img src=""https://cdn.coinranking.com/B1oPuTyfX/xrp.svg"" style=""height: 30px; width:30px;""/>"
243,https://cdn.coinranking.com/ryY28nXhW/ada.svg,ADA,Cardano,0.8737423262115087,-2.1,27184294795,984110867,"<img src=""https://cdn.coinranking.com/ryY28nXhW/ada.svg"" style=""height: 30px; width:30px;""/>"
270,https://cdn.coinranking.com/H1arXIuOZ/doge.svg,DOGE,Dogecoin,0.1653443206324457,24.52,21936357391,2991727654,"<img src=""https://cdn.coinranking.com/H1arXIuOZ/doge.svg"" style=""height: 30px; width:30px;""/>"
297,https://cdn.coinranking.com/RsljYqnbu/polkadot.svg,DOT,Polkadot,17.990339844213466,-2.41,19717037795,756169969,"<img src=""https://cdn.coinranking.com/RsljYqnbu/polkadot.svg"" style=""height: 30px; width:30px;""/>"
324,https://cdn.coinranking.com/6SJHRfClq/busd.svg,BUSD,Binance USD,1.0039694524806932,0.4,17628352197,4283733068,"<img src=""https://cdn.coinranking.com/6SJHRfClq/busd.svg"" style=""height: 30px; width:30px;""/>"
351,https://cdn.coinranking.com/S0C6Cw2-w/avax-avalanche.png,AVAX,Avalanche,70.88168227606788,-2.58,15589280477,655503338,"<img src=""https://cdn.coinranking.com/S0C6Cw2-w/avax-avalanche.png"" style=""height: 30px; width:30px;""/>"
378,https://cdn.coinranking.com/D69LfI-tm/shib.png,SHIB,SHIBA INU,2.47178232237e-05,3.18,14572183583,968596757,"<img src=""https://cdn.coinranking.com/D69LfI-tm/shib.png"" style=""height: 30px; width:30px;""/>"
405,https://cdn.coinranking.com/0ClFW1IpO/bitdao.png,BIT,BitDAO ,1.294459912429211,2.47,12944599124,6489897,"<img src=""https://cdn.coinranking.com/0ClFW1IpO/bitdao.png"" style=""height: 30px; width:30px;""/>"
432,https://cdn.coinranking.com/mtb0IvtcM/terrausd.png,UST,TerraUSD,1.0008044871550286,-0.04,11282154125,677931936,"<img src=""https://cdn.coinranking.com/mtb0IvtcM/terrausd.png"" style=""height: 30px; width:30px;""/>"
459,https://cdn.coinranking.com/o3-8cvCHu/wbtc[1].svg,WBTC,Wrapped BTC,39912.4148000252,0.54,11195649460,67590628,"<img src=""https://cdn.coinranking.com/o3-8cvCHu/wbtc[1].svg"" style=""height: 30px; width:30px;""/>"
486,https://cdn.coinranking.com/UJ-dQdgYY/8085.png,STETH,Lido Staked Ether,2990.130750981525,1.17,10529570388,804189,"<img src=""https://cdn.coinranking.com/UJ-dQdgYY/8085.png"" style=""height: 30px; width:30px;""/>"
